variable_x,variable_y,method,coefficient,p_value,n,significance,strength_label,H0_conclusion,approach
sleep_hours,productivity_score,Pearson,0.6481930615561763,7.64337765200892e-17,130,**,високий позитивний,Відхилено,listwise
sleep_hours,steps_per_day,Pearson,0.12345703121885297,0.16169571496130902,130,,слабкий позитивний,Не відхилено,listwise
sleep_hours,calories_intake,Pearson,0.12509142810702212,0.15617234012131934,130,,слабкий позитивний,Не відхилено,listwise
sleep_hours,weight_kg,Spearman,0.003606920191422294,0.9675126178866882,130,,слабкий позитивний,Не відхилено,listwise
sleep_hours,caffeine_mg,Pearson,-0.16481381735966572,0.06095068856259455,130,,слабкий негативний,Не відхилено,listwise
productivity_score,steps_per_day,Pearson,-0.08522208105849259,0.33501996726276606,130,,слабкий негативний,Не відхилено,listwise
productivity_score,calories_intake,Pearson,0.24315633798622815,0.0053100443977669685,130,**,слабкий позитивний,Відхилено,listwise
productivity_score,weight_kg,Spearman,0.2247008647391345,0.010164130036609932,130,*,слабкий позитивний,Відхилено,listwise
productivity_score,caffeine_mg,Pearson,0.07395788118322971,0.40301350461310115,130,,слабкий позитивний,Не відхилено,listwise
steps_per_day,calories_intake,Pearson,-0.11996971221975011,0.17396607770914913,130,,слабкий негативний,Не відхилено,listwise
steps_per_day,weight_kg,Spearman,-0.5136848499501105,4.101343566799111e-10,130,**,високий негативний,Відхилено,listwise
steps_per_day,caffeine_mg,Pearson,-0.06941467751472162,0.4325987886502662,130,,слабкий негативний,Не відхилено,listwise
calories_intake,weight_kg,Spearman,0.6248525905247672,1.939358562789464e-15,130,**,високий позитивний,Відхилено,listwise
calories_intake,caffeine_mg,Pearson,0.07423760481804806,0.40123198923741765,130,,слабкий позитивний,Не відхилено,listwise
weight_kg,caffeine_mg,Spearman,0.06834744671569282,0.4397245335850841,130,,слабкий позитивний,Не відхилено,listwise
